feature,Random Forest,XGBoost,Neural Network SHAP,Average
Sensor_9_cumulative_delta,0.5511589585184081,0.17651584708492418,0.08339016550197574,0.270354990368436
Sensor_4_rolling_mean_5,0.09932007407789412,0.1352771368847054,0.023623314988532488,0.08607350865037734
Sensor_3_rolling_mean_10,0.08326045053698942,0.08198609931455497,0.011889860989064705,0.05904547028020304
Sensor_6_cumulative_delta,0.03222532389451934,0.026880349909140948,0.08439318696497847,0.04783295358954626
Sensor_9_rolling_mean_5,0.032733410823322796,0.016338961165639126,0.07895882663850431,0.04267706620915541
Sensor_17_rolling_mean_10,0.01652714373755176,0.05238964770491947,0.01029219625652744,0.026402995899666225
Sensor_8_rolling_mean_5,0.016612687316219094,0.017796847933036642,0.010477231922465656,0.01496225572390713
Sensor_11_lag_1,0.0013306727968854547,0.017587078699402757,0.023262226549943407,0.014059992682077208
Sensor_12,0.0013296400656579671,0.004384138146796913,0.02151094912974861,0.009074909114067829
Sensor_11_lag_2,0.0012134336831690082,0.012716565255245673,0.010731759074802692,0.008220586004405792
Sensor_11_lag_3,0.001079454832590936,0.0076973782695475826,0.011630854405604308,0.006802562502580943
Sensor_9_rolling_std_10,0.00454235204320309,0.007102393065079595,0.008215304997665344,0.006620016701982676
Sensor_14_rolling_std_10,0.007381649243950137,0.007761260478778037,0.004587369932824555,0.0065767598851842425
Sensor_11_lag_5,0.0012054125037417572,0.00579980387102154,0.012148715419025548,0.0063846439312629484
Sensor_13,0.0006629491137883915,0.0020865194922645935,0.016293020644580932,0.006347496416877972
Sensor_12_rolling_std_10,0.006601771826626037,0.007442954446858295,0.004512245286609033,0.006185657186697789
Sensor_15_lag_1,0.0009715538583133045,0.00531587748636633,0.011510527485088472,0.005932652943256036
Sensor_12_lag_5,0.0015310320853100937,0.004871356291085396,0.011016474708836328,0.005806287695077273
Sensor_11_rolling_std_10,0.005760508530940838,0.006961982683065034,0.004412334624602264,0.005711608612869378
Sensor_3_lag_1,0.0006638657310206793,0.0025344258122667143,0.013930050333377455,0.005709447292221617
