sensor,Random Forest,XGBoost,Neural Network SHAP,Average
Sensor_9,0.5915217897518905,0.2090310024029991,31.18644975403039,10.66233418206176
Sensor_6,0.03464758246833923,0.07724217268967325,16.065158621614053,5.392349458924023
Sensor_3,0.09583825445776849,0.10820501019554357,13.185293943836722,4.463112402830011
Sensor_12,0.016583394300480465,0.03940661476347412,12.447754333750545,4.167914780938166
Sensor_4,0.10977555308458273,0.16460746854070682,12.208241385155342,4.160874802260211
Sensor_13,0.01037209813581241,0.03056851919566408,12.34654390898077,4.129161508770749
Sensor_11,0.014210689638594188,0.06035568808947869,12.187516523898207,4.0873609672087605
Sensor_8,0.026531395824533125,0.04611753802664381,11.880108614759505,3.984252516203561
Sensor_17,0.02464923137389971,0.08086932666888305,9.998228905658456,3.3679158212337463
Sensor_21,0.013959260271693018,0.0335345232641727,9.011173625656358,3.0195558030640743
Sensor_15,0.014227756400291303,0.036996297695739755,8.643865807531506,2.898363287209179
Sensor_7,0.014013076082279533,0.03685130055005456,8.641678961915993,2.8975144461827758
Sensor_2,0.012147316062294402,0.031784846033407976,8.448103037498605,2.830678399864769
Sensor_20,0.010956607996884892,0.028433435771429778,7.25224439925474,2.430544814341018
Sensor_14,0.010565994150655986,0.01599625611212867,1.8672636625926335,0.6312753042851394
Sensor_10,0.0,0.0,0.0,0.0
Sensor_1,0.0,0.0,0.0,0.0
Sensor_18,0.0,0.0,0.0,0.0
Sensor_19,0.0,0.0,0.0,0.0
Sensor_16,0.0,0.0,0.0,0.0
Sensor_5,0.0,0.0,0.0,0.0
